Text1,Text2,Text3,Text4,p1-,p2+,p3-,p4+
Visiting the Great Barrier Reef,Visiting the Amazon Rainforest,Exploring the Serengeti,Climbing the Himalayas,18%,82%,45%,55%
Going on a spacewalk,Going on a deep-sea dive,Exploring a cave,Parasailing over the ocean,43%,57%,47%,53%
Becoming a famous singer,Becoming a renowned scientist,Becoming a celebrated chef,Becoming a successful author,41%,59%,48%,52%
Living in a futuristic city,Living in a medieval castle,Living in a quaint village,Living in a modern suburban neighborhood,5%,95%,23%,77%
Having a personal robot assistant,Having a talking animal companion,Having a flying drone assistant,Having a holographic assistant,43%,57%,10%,90%
Experiencing zero gravity,Experiencing total silence,Experiencing virtual reality,Experiencing augmented reality,14%,86%,41%,59%
Being able to speak all languages,Being able to communicate with animals,Being able to understand plants,Being able to decipher ancient languages,25%,75%,23%,77%
Owning a private island,Owning a private jet,Owning a private art collection,Owning a private zoo,44%,56%,21%,79%
Discovering a new species,Discovering a new planet,Discovering a new element,Discovering a new galaxy,10%,90%,32%,68%
Having a personal library,Having a home theater,Having a private art studio,Having a game room with all the latest technology,25%,75%,49%,51%
Learning to dance salsa,Learning to play chess,Learning to cook gourmet meals,Learning to code software,20%,80%,42%,58%
Having the ability to heal others,Having the ability to read minds,Having the ability to control the weather,Having the ability to manipulate time,2%,98%,14%,86%
Participating in a reality show,Participating in a game show,Participating in a talent show,Participating in a cooking competition,2%,98%,32%,68%
Camping in the mountains,Camping on a tropical island,Camping in the desert,Camping in a dense forest,31%,69%,47%,53%
Becoming a famous chef,Becoming a successful architect,Becoming a world-class athlete,Becoming a renowned fashion designer,10%,90%,40%,60%
Living in a world without music,Living in a world without books,Living in a world without technology,Living in a world without nature,23%,77%,22%,78%
Riding a roller coaster,Paragliding,Bungee jumping,Skydiving,18%,82%,5%,95%
Being a famous fashion designer,Being a famous filmmaker,Being a famous musician,Being a famous visual artist,16%,84%,32%,68%
Driving a convertible,Driving a 4x4 off-road vehicle,Driving a luxury sports car,Driving an electric car,21%,79%,4%,96%
Taking a hot air balloon ride,Taking a helicopter tour,Taking a cruise on a luxury liner,Taking a ride in a vintage train,22%,78%,42%,58%
Attending the Olympics,Attending the World Cup,Attending the Super Bowl,Attending the Academy Awards,3%,97%,42%,58%
Having a personal spaceship,Having a personal submarine,Having a personal jetpack,Having a personal hoverboard,19%,81%,47%,53%
Skiing in the Alps,Surfing in Hawaii,Rock climbing in Yosemite,Mountain biking in the Andes,46%,54%,44%,56%
Building a snowman,Building a sandcastle,Building a treehouse,Building a life-size sculpture,35%,65%,3%,97%
Running a successful YouTube channel,Running a successful podcast,Running a successful blog,Running a successful online business,5%,95%,16%,84%
Having the power of invisibility,Having the power of super strength,Having the power of telekinesis,Having the power of time manipulation,28%,72%,14%,86%
Learning to code,Learning to play a sport,Learning to play a musical instrument,Learning to dance,4%,96%,1%,99%
Being a master of disguise,Being a master of mimicry,Being a master of illusions,Being a master of acrobatics,36%,64%,33%,67%
Sailing around the world,Backpacking through Europe,Driving across the Americas,Flying around the globe,10%,90%,27%,73%
Having a personal assistant,Having a personal masseuse,Having a personal stylist,Having a personal chauffeur,8%,92%,6%,94%
Living in a world without smartphones,Living in a world without computers,Living in a world without cars,Living in a world without electricity,7%,93%,28%,72%
Winning the lottery,Discovering hidden treasure,Inheriting a fortune,Creating a successful startup,16%,84%,47%,53%
